time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.12000000000000001,9.79723498962e-06,0.0962721746743,10.1344027168,1.15938748029,6.28299855509,0.0,0.000359021255614,0.835378244608,1.36394327705,19.2584162174,0.00348868736693,0.0,899.99760944,900.321265154,0.177787525491,899.396907761
0.18,4.09743751367e-05,0.16402065601,10.1991429662,0.56471445145,4.81484505581e-05,0.0,0.000608260932072,0.627061203253,0.937485836248,24.3342739001,0.00475363539604,0.0,900.265388838,900.316542323,0.204481993915,899.539178616
0.23999999999999996,7.10323423436e-05,0.247612420395,10.2618536388,3.19593173518,0.000235444450243,0.0,0.000316190683216,2.20387104908,0.361993367776,26.8637845603,-0.000361088231911,0.0,900.553394395,900.346452276,-0.0656218708891,899.637175886
0.3,7.48970030935e-05,0.356678504837,10.2110069483,5.05908285137,0.000169248212043,0.0,-0.00017304232072,0.985571023081,-1.68987012408,27.9960205797,-0.00263054048313,0.0,900.432644024,900.340845634,-0.134344442219,899.542902384
0.36000000000000004,5.55282782914e-05,0.367979793553,10.1290630406,0.508377053381,6.28310101527,0.0,-0.00040669169097,-0.184015339255,-0.721183196756,28.4801198484,-0.00762354883407,0.0,900.269871877,900.06784886,-0.345844121559,899.620682241
0.4200000000000001,4.17605445314e-05,0.401342799342,10.1097019636,2.23000772862,6.28280214813,0.0,6.8946538602e-05,1.54410778165,-0.390849094374,28.6906092703,-0.000161127108341,0.0,900.042615935,900.344576425,0.16086584465,900.079344313
0.48000000000000015,6.95288204564e-05,0.52835880211,10.0186053827,3.95482087575,3.62975449981e-05,0.0,0.000781078657859,2.19347531804,-2.82112536764,28.7769622942,0.0184197539891,0.0,899.682936501,900.434720716,-0.000101488266906,900.050531905
0.5400000000000001,9.68459467458e-05,0.605417297866,9.80496529565,5.68238486984,0.0019757565909,0.0,-0.0003899270902,0.278728700468,-3.78005071272,28.8089921665,0.0511804493576,0.0,899.531111181,900.856909109,0.0435667773479,899.866763231
0.6000000000000002,-9.34527430813e-05,0.604970189623,9.61793498339,1.12817909059,0.00552090378959,0.0,-0.00703570947954,0.231560777943,-2.43809289872,28.8254122763,0.0714617231469,0.0,899.945390074,900.767611555,0.0120495502847,900.039817277
0.6600000000000003,-0.000930358335657,0.678954563149,9.46216744984,2.85778982662,0.0100379956682,0.0,-0.0222483410087,2.16067142571,-3.277766556,28.8289192948,0.0820133975207,0.0,899.913917275,900.342717455,0.170608444311,899.869012303
0.7200000000000003,-0.00297427142019,0.80710104119,9.1879800859,4.58748172792,0.0151665915597,0.0,-0.0475847469114,1.61168196416,-5.72285677113,28.8270849071,0.0916290644227,0.0,899.549760831,899.940965613,0.116845205932,899.695850172
0.7800000000000004,-0.00688160642187,0.844518436568,8.83674100648,0.0338479011709,0.0206326581175,0.0,-0.0841231368384,-0.127711751623,-5.51384337763,28.8239320134,0.090024616013,0.0,899.78542426,899.724972308,0.0650565446789,899.56881641
0.8400000000000004,-0.0133105209437,0.856938080583,8.54366393666,1.76335210993,0.0262321811165,0.0,-0.132331714761,0.973801789944,-4.53494011288,28.8267310405,0.099217574695,0.0,899.80717351,900.183876256,0.175781976837,899.785359209
0.9000000000000005,-0.0230163518292,0.968043251694,8.22581055803,3.49310526841,0.0323168779765,0.0,-0.192516502177,2.3566294208,-6.42515285184,28.8327127752,0.105470636113,0.0,900.136751591,900.392938252,0.10451120286,900.041080285
0.9600000000000005,-0.0367202500237,1.07352586522,7.77514815779,5.22305754686,0.0390292267864,0.0,-0.266980398126,0.83161557035,-8.20588451934,28.8322726044,0.122288633887,0.0,899.900974327,900.586416947,0.219730241046,899.888025835
1.0200000000000005,-0.0552763031204,1.08301224563,7.30622464891,0.669986733929,0.0466333616398,0.0,-0.352951608395,-0.0549188330213,-7.19685379648,28.8393546288,0.134398335146,0.0,899.962053805,900.460617608,0.312044070867,900.272189041
1.0800000000000005,-0.0795480614059,1.12857867014,6.89027708468,2.40031778658,0.0548451149138,0.0,-0.459370697484,1.75838134541,-7.14566319688,28.8380782757,0.141402975002,0.0,899.966675285,900.259137553,0.240865229102,900.051098303
1.1400000000000006,-0.110563855264,1.25821087787,6.39271429271,4.13078854371,0.063202453202,0.0,-0.576757732313,2.07694189166,-9.52324495122,28.8454595173,0.134690190979,0.0,899.982912775,899.718392559,0.0654700143377,900.469160346
1.2000000000000006,-0.14936761014,1.3261082935,5.78439672004,5.86168050173,0.0711557365469,0.0,-0.718416320653,0.173385894534,-10.2385358492,28.8520183697,0.127876030116,0.0,899.95881541,899.691451591,-0.0300108936101,900.6559889
1.2600000000000007,-0.196784702999,1.3303678057,5.20577932151,1.30982232009,0.0786066264802,0.0,-0.866240461178,0.444194369731,-9.0924714892,28.8601482636,0.115531658583,0.0,900.392216395,899.901057156,-0.41820249127,900.943784974
1.3200000000000007,-0.253926811271,1.41640232655,4.64281756998,3.04150865578,0.0855070601775,0.0,-1.03663724081,2.24171529418,-10.1579816811,28.8633133116,0.113961077418,0.0,899.91725828,899.859056536,-0.282898809151,900.934980179
1.3800000000000008,-0.321165583641,1.53975028327,3.96297563709,4.77319383985,0.0921830250647,0.0,-1.21202671525,1.43440161962,-12.3572721469,28.8583821084,0.105247359182,0.0,900.139654596,899.791019388,-0.396724639095,900.605766103
